Villain	Year first	Year last	Doc. no.	Doctor actor	Episodes	Motivation (invasion earth, kill humans, etc)	Story titles
Rassilon	1983	2010	1,2,3,4,5,10,11	Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, David Tennant, Matt Smith	3	Power	The Five Doctors, The End of Time
Macra (the)	1967	2007	2,10	Patrick Troughton, David Tennant	5	Kill everything	The Macra Terror, Gridlock
Pangol	1980	1980	4	Tom Baker	4	Conquest	The Leisure Hive
Icthar	1984	1984	5	Peter Davison	4	Power	Warriors of the Deep
Quarks	1968	1968	2	Patrick Troughton	5	Enslavement	The Dominators
Krillitane	2008	2008	10	David Tennant	1	Self interest	School Reunion
Kala	1964	1964	1	William Hartnell	6	Save alien planet 	The Keys of Marinus
Staal	2008	2008	10	David Tennant	2	World domination	The Sontaran Stratagem/The Poison Sky
Vervoids 	1986	1986	6	Colin Baker	4	Kill humans	Terror of the Vervoids
Fortune Teller	2008	2008	10	David Tennant 	1	Manipulating the past	Turn Left
Myrka (the)	1984	1984	5	Peter Davison	4	Serve big bad	Warriors of the Deep
Bok	1971	1971	3	Jon Pertwee	5	Assist Azal	The Dæmons
Automated Corpse	2005	2005	9	Christopher Eccleston	1	Serve big bad	The Long Game
Oak, Mr	1968	1968	2	Patrick Troughton	6	Serve big bad	Fury from the Deep
Lazarus, Professor Richard	2007	2007	10	David Tennant	1	Kill humans	The Lazarus Experiment
Wagner	2006	2006	10	David Tennant	1	Control time and the universe	School Reunion
Morka	1970	1970	3	Jon Pertwee	7	World domination	Doctor Who and the Silurians    
Magpie (Mr)	2006	2006	10	David Tennant 	1	Career	The Idiot's Lantern
New Humans	2006	2007	10	David Tennant	2	Sabotage	New Earth, Gridlock
Beast (the)	2006	2006	10	David Tennant	2	Satan Figure	The Impossible Planet/The Satan Pit
Martha Jones- Clone	2008	2008	10	David Tennant	2	Serve big bad	The Sontaran Stratagem/The Poison Sky
Reegan	1970	1970	7	Jon Pertwee	7	Crime	The Ambassadors of Death
Cobb, General	2008	2008	10	David Tennant	1	War	The Doctor's Daughter
Raston Warrior Robot	1983	1983	1,2,3,4,5	Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison	1	Kill everything	The Five Doctors
Black Guardian (the)	1978	1979	4,5	Tom Baker, Peter Davison	18	Wants evil	The Key to Time, Terminus, Mawdryn Undead, Enlightenment, Armageddon factor
Flood (the)	2009	2009	10	David Tennant	1	Viral infection	 The Waters of Mars
Light	1989	1989	7	Sylvester McCoy	3	Destroy all life	Ghost Light
Voord	1964	1964	1	William Hartnell	6	Wants to control a Planet	The Keys of Marinus
Krafayis	2010	2010	11	Matt Smith	1	Hunt  	Vincent and the Doctor
Oil Rig	2007	2007	10	David Tennant	13	Drain oil from planets, make money	The Infinite Quest 
Maggot/Giant Maggot	1973	1973	3	Jon Pertwee	6	Kill humans	The Green Death
Whitaker	1974	1974	3	Jon Pertwee	6	Possess time travel	Invasion of the Dinosaurs
Grandfather (Akhaten)	2013	2013	11	Matt Smith	1	Feed off memories and feelings	The Rings of Akhaten
Azlok	2009	2009	10	David Tennant	7	Invading Earth	Dreamland
van Statten, Henry	2005	2005	9	Christopher Eccleston	1	Corruption	Dalek
Hawthorne	2010	2010	11	Matt Smith	1	Power	The Beast Below
Rodrick	2005	2005	9,10	Christopher Eccleston, David Tennant	2	money (prize money)	Bad Wolf, Parting of the Ways
Handbots	2011	2011	11	Matt Smith	1	Kill with kindness	The girl who waited
McAllister, Ewan	2005	2005	9	Christopher Eccleston	1	Serve big bad	World War Three 
Hartman, Yvonne	2006	2006	10	David Tennant	2	Assist Cybermen	Army of Ghosts/Doomsday
Kaftan	1967	1967	2	Patrick Troughton	4	Power	Tomb of the Cybermen
Quinlan, Sir James	1970	1970	7	Jon Pertwee	7	Serve big bad	The Ambassadors of Death
Mummies (Osirian service robots)	1975	1975	4	Tom Baker	4	Serve big bad	 Pyramids of Mars
Ratcliffe, George	1988	1988	7	Sylvester McCoy	4	Ally with the Nazis	Rememberance of the Daleks
Tekker	1985	1985	6	Colin Baker	2	Serve big bad	Timelash
Vynda-K, Graff	1978	1978	4	Tom Baker	4	Make money	The Ribos Operation
Pond, Melody (before redemption)	2011	2011	11	Matt Smith	1	Serve big bad	Let's Kill Hitler
Slab	2007	2007	10	David Tennant	1	Serve big bad	Smith and Jones
Scorby 	1976	1976	4	Tom Baker	6	Flee England	The seeds of Doom
